Alt_ID,CarModel,Description,ID,Info,Manufacturer,Prod_Cat,Sub_Cat,price
"00009ADU22KA, 00009ADU24K, 00009ADU24KA, 10148004, 10283602, 10284388, 10317151, 10332277, 10344210, 10350320, 10375583, 10384711, 10410045, 10418004, 12363388, 12367261, 12367277, 12463023, 12463074, 12487602, 12487636, 12755314, 12755315, 12785930, 12800768, 15079565, 15079566, 15153642, 15160728, 15184847, 15192144, 15214346, 15221927, 15243233, 15757007, 15857654, 15890062, 15930910, 15931977, 15941731, 15941732, 15941733, 15941734, 15941735, 15941737, 1638200045, 1638200345, 1708200045, 1708200145, 1708200845, 19120758, 1L2Z17528AB, 2038200145, 2038201545, 2038202145, 2038207000, 20791461, 20844389, 20918023, 20958934, 21302527, 21302897, 22155686, 22648387, 22660359, 22675853, 22695007, 22700262, 22711469, 22756331, 22793882, 22860195, 22905714, 23360288, 23366232, 25643031, 25648646, 25649713, 25670415, 25678717, 25678718, 25682212, 25689175, 25753757, 25788477, 25788742, 25800624, 25843112, 25877402, 25949887, 25963528, 288900B000, 2889017C10, 2889017C20, 288901BA0A, 288901CA1A, 288901E300, 288901E301, 288901E310, 288901KE0A, 2889030R15, 288903W405, 288903W40A, 288903W41A, 2889040U00, 2889040U01, 288904Z800, 2889061S15, 288906B700, 288906Z50A, 288907S200, 288909CA0A, 288909FM0B, 28890AC80A, 28890AC81A, 28890AM801, 28890AM805, 28890AM815, 28890CG000, 28890CG00B, 28890CG00C, 28890CM30A, 28890CM30B, 28890CM40A, 28890EA000, 28890JF30A, 28890VB010, 28890ZC31A, 28890ZG50A, 2S4Z17528AB, 2U2Z17528KA, 30566387, 30649040, 30655499, 30753767, 30784428, 32008799, 32009840, 3501G000, 35026000, 35026600, 3502C000, 35037000, 35038000, 3834054G40, 3834085Z20, 3834085Z21, 3834085Z22, 3834086Z00, 3W1Z17528BA, 3W7Z17528AA, 3W7Z17528BA, 4630658, 4630658AC, 4630753, 4673043, 4723443, 4723444, 4746318, 4832390, 4832408, 4832416, 4832424, 4886130AA, 4A0955425, 4A0955425A, 4A0955425B, 4A0955427, 4B0955425, 4B0955427, 4B7955425L, 4D0955425A, 4U2Z17528KA, 4W1Z17528AA, 5011206AA, 5011206AB, 5011206AC, 5012357AB, 5014795AA, 5018262AA, 5018263AA, 5019372AA, 5099055AA, 5099055AB, 5101870AA, 5101870AB, 5101871AA, 5101871AB, 5102230AB, 5103543AA, 5124454AA, 5124455AA, 5139095AA, 5189813AA, 5288090, 55077100AE, 55277446AB, 61610027031, 61610032743, 61610134601, 61610304191, 61610409727, 61610443590, 61611378773, 61611383005, 61612151749, 61613400722, 61613424486, 61613427722, 61617161620, 61618217705, 61618351271, 61618352031, 61618361475, 61619069198, 61619070577, 6535181, 68002029AA, 68003836AA, 68015148AA, 68020295AA, 68020508AA, 68020508AB, 68020508AC, 68029822AA, 68029827AA, 68051219AA, 68079859AA, 68101152AA, 68101152AB, 68194931AA, 76620S3VA11, 76620S3YA01, 76620S3YA02, 76620SD4306, 76620SD4672, 76620SL0307, 76620SL0A01, 76620SM4G01, 76620SP0305, 76620SP0A01, 76620SR3A01, 76620SZ3A01, 76620SZ3A11, 76620SZAA01, 76630SHJA01, 76630SHJA11, 76630SHJA12, 76630SJCA01, 76630SJCA11, 76630SNAA11, 76630SVAA04, 76630TK8A01, 76630TK8A02, 76630TK8A03, 76630TL0G01, 76630TL0G02, 76630TR0A02, 76630TS8A01, 76630TS8A02, 7R3Z17528B, 7R3Z17528BA, 8123686670, 8151536420, 8152143460, 8250A098, 8250A174, 8250A815, 8259498870, 84613732, 852120E010, 852120E020, 852120T020, 8521248150, 8521260170, 8521260171, 85212WB001, 852203A090, 852203A091, 8522204030, 8522204040, 8522206020, 852220R040, 8522212870, 8522233140, 8522233180, 8522235110, 8522242060, 8522242080, 8522248040, 8522250030, 8522252100, 8522253040, 8522253070, 8522253071, 8522253090, 8522260211, 852420E020, 86542AC010, 86542AC050, 86542AC090, 86542AC130, 86542AE020, 86542AE040, 86542AE10A, 86542AE210, 86542AE220, 86542CA010, 86542FC010, 86542FE020, 86542FE100, 86542PA020, 86542PA040, 8889582220, 88958226, 88986196, 89000022, 8902C022, 8943176760, 8943694533, 895955425, 8A8Z17528B, 8E1955425A, 8L1Z17528A, 8L1Z17528B, 8L3Z17528A, 9190447, 92076914, 93166795, 93166796, 93196006, 93196007, 95211012, 95980789, 96205561, 96342895, 96342895P, 96476652, 96497155, 96648556, 96898048, 983501G000, 9835026000, 9835026060, 9835026600, 9835026800, 983502C000, 983502C800, 983502G500, 9835037000, 9835038000, 983503D050, 98350DCL55, 983603A000, 99662804500, 99662804501, 99662890107, 99662890108, 99762818900, 99H09AK020C, 99H09AK022C, 9P1955426, AMH09AP024, AR3Z17528B, AW345924, BC3Z17528A, BC3Z17528B, BC3Z17528C, C2P1270, C2S13423, C2S39930, D11B67330, DKC000040, DKC100830, DKC500130, DKC500170PMD, DKC500171PMD, DKC500220, DKC500240, F09Z17528A, F1VY17528A, F6AZ17528GA, F6AZ17593KA, F6AZ17593LA, F8PZ17528FA, F8PZ17528JA, F8RZ17528EB, F8VZ17528AA, F8VZ17528AB, F8XZ17528AD, FB0267330, FL3Z17528A, FO9Z17593A, G22667330, G22667330A, GC3Z17528B, GK2A67330, GK2A67330A, GP9A67330, GU2Z17V528R, JU2Z17V528H, KL3Z17528A, LA0167330, LA0167330A, LA0167330C, LA0167330D, LA0167330D9U, LR018367, MMCAC220022, MR191074, MR191075, MR300209, MR311076, MR441818, MR482671, MR482673, MR908442, MR908443, MZ690127, MZ690129, MZ690130, MZ690131, MZ690136, MZ690137, MZ690160, PRC9841, R311076, SOA591U222, SU00302677, U889000022, U88902C022, WB00022W, WB00PB22AA, WB00PB22AB, WB02922, WB03022, WBF00022AA, WBW00022AD, WV22, WW2004, WW2103, WW2109, WW22, WW2200PC, WW2201, WW2201P, WW2212, WW2216, WW2217, WW2222, WW2223, WW2228, WW2230, WW2233, WW2234, WW2236, WW2237, WW2245, WW2247, WW22WA, XF6Z17528AA, XR812132, XS8Z17528AF, XW7Z17528AA",ford 2018 flex 3.5l+v6+turbocharged,500 Series,50022,"Front Right; Armtype: Hook 9x4; Blade Length: 22""",VALEO,wiper+&+washer,wiper blade,$3.37
{#VCB22},ford 2018 flex 3.5l+v6+turbocharged,"31-Series; 22""",3122,"Front Right; To install, use included 9x4mm J-Hook Adapter Shim",ANCO,wiper+&+washer,wiper blade,$2.44
,ford 2018 flex 3.5l+v6+turbocharged,"31-Series; 24""",3124,"Front Left; To install, use included 9x4mm J-Hook Adapter Shim",ANCO,wiper+&+washer,wiper blade,$2.44
"0008244326, 1698200445, 1698201745, 2118200245, 2118203345, 2128200945, 2128201945, 25820122, 28780JM00A, 287813JA0A, 28790JE20A, 31457162, 4638200345, 5140655AA, 5140655AB, 604504, 61627306461, 68002490AB, 68057730AA, 68202284AA, 8L8Z17528C, 8V4Z17528A, BE8Z17528C, CV6Z17528C, DM5Z17528A, R12A, R12B, WW12, WW1202, WW1204, WW1295, ZZC267330A",ford 2018 flex 3.5l+v6+turbocharged,Ultimate Rear; Arm and Blade Integrated,12E,"Rear; Armtype: Snap Claw; Blade Length: 12""",VALEO,wiper+&+washer,wiper blade,$2.75
"10329207, 15192143, 5103544AA, 61610134601, 61618203954, 61618217705, 61618217706, 61618351760, 61618355052, 61619069198, 68020508AC, XR832336, XR858027",ford 2018 flex 3.5l+v6+turbocharged,800 Series,800241,"Front Left; Armtype: Hook 9x4; Blade Length: 24""",VALEO,wiper+&+washer,wiper blade,$2.97
,ford 2018 flex 3.5l+v6+turbocharged,Traditional Titanium,604473,"Front Right; Armtype: Hook 9x4; Blade Length: 22""",VALEO,wiper+&+washer,wiper blade,$2.97
{#60024},ford 2018 flex 3.5l+v6+turbocharged,"AeroVantage; 24""",9124,"Front Left; To install, use included 9x4mm J-Hook Adapter Shim",ANCO,wiper+&+washer,wiper blade,$3.58
{#600221},ford 2018 flex 3.5l+v6+turbocharged,Exact Fit - Factory Replacement Blade,221,Right,TRICO,wiper+&+washer,wiper blade,$3.91
{#60012E},ford 2018 flex 3.5l+v6+turbocharged,"Exact Fit - Factory Replacement Blade; 12"" (300mm) Snap Claw",12E,Rear,TRICO,wiper+&+washer,wiper blade,$3.93
"10317151, 10329206, 10344210, 10350320, 12755314, 12800768, 15192144, 15214346, 15243233, 15757008, 15931976, 15941732, 15941733, 15941734, 15941736, 15941738, 1708200045, 1708200145, 1708200845, 19120758, 1L2Z17528AB, 20918023, 21302527, 21302897, 22711469, 22756331, 22793882, 23360288, 25682212, 25753758, 25788742, 25949887, 288901KE0A, 2889030R15, 288904Z800, 288907S200, 288909FM0B, 28890JF30A, 28890ZC31A, 2U2Z17528KA, 32008799, 32009840, 3834054G40, 3834085Z20, 3834085Z22, 3834086Z00, 4630658, 4630658AC, 4673042, 4746318, 4886130AA, 4A0955425, 4A0955425A, 4A0955425B, 4A0955427, 4U2Z17528KA, 5011206AA, 5011206AC, 5018262AA, 5099055AA, 5099055AB, 5101870AB, 5103543AA, 5189813AA, 61610032743, 61617161620, 68002029AA, 68003836AA, 68015148AA, 68020508AC, 68029822AA, 68079859AA, 68101152AA, 68101152AB, 68194931AA, 76630SHJA01, 76630SHJA11, 76630SHJA12, 76630SJCA01, 76630SJCA11, 76630THRA02, 76630TK8A01, 76630TK8A02, 76630TK8A03, 76630TL0G01, 76630TL0G02, 8250A098, 84613732, 852120E010, 852120T020, 8521248090, 8521248150, 8521260170, 8521260171, 85212WB001, 8522204030, 8522204040, 8522206020, 852220R040, 8522212870, 8522233140, 8522233180, 8522242060, 8522242080, 8522248040, 8522253071, 8522260211, 852420E020, 86542CA010, 8A8Z17528B, 8D1955427, 8L1Z17528A, 8L1Z17528B, 8L3Z17528A, 92076914, 93196007, 99662804500, 99662804501, 99662890107, AW345924, BC3Z17528C, C2P1270, D11B67330, DKC000040, DKC100830, DKC500130, DKC500171PMD, DKC500240, F8RZ17528EB, FB0267330, FL3Z17528A, G22667330A, GU2Z17V528R, JU2Z17V528H, KL3Z17528A, LA0167330D9U, LR018367, MMCAC220022, MR191075, MR311074, MR311076, MR441818, MZ690130, MZ690131, PRC9841, SU00302677, WB000018AM, WBF00022AA, WW2103, WW2200PC, WW2201P, WW2212, WW2217, WW2233, WW2234, WW2236, WW2247, WW22WA, XR812132",ford 2018 flex 3.5l+v6+turbocharged,800 Series,800221,"Front Right; Armtype: Hook 9x4; Blade Length: 22""",VALEO,wiper+&+washer,wiper blade,$4.29
,ford 2018 flex 3.5l+v6+turbocharged,AR-Series,AR12E,Rear,ANCO,wiper+&+washer,wiper blade,$4.36
,ford 2018 flex 3.5l+v6+turbocharged,View,31240,Left,TRICO,wiper+&+washer,wiper blade,$4.36
,ford 2018 flex 3.5l+v6+turbocharged,View,31220,Right,TRICO,wiper+&+washer,wiper blade,$4.36
,ford 2018 flex 3.5l+v6+turbocharged,"OE Style Blade; 12""",H300,Rear,BOSCH,wiper+&+washer,wiper blade,$4.47
,ford 2018 flex 3.5l+v6+turbocharged,"AeroVantage; 22""",9122,"Front Right; To install, use included 9x4mm J-Hook Adapter Shim",ANCO,wiper+&+washer,wiper blade,$4.65
,ford 2018 flex 3.5l+v6+turbocharged,Traditional Titanium,604474,"Front Left; Armtype: Hook 9x4; Blade Length: 24""",VALEO,wiper+&+washer,wiper blade,$5.19
"{#82249, 89001020}",ford 2018 flex 3.5l+v6+turbocharged,"Professional Performance; 24""",82241,Left,ACDELCO,wiper+&+washer,wiper blade,$5.29
,ford 2018 flex 3.5l+v6+turbocharged,Micro Edge,40722A,Front Right,BOSCH,wiper+&+washer,wiper blade,$5.29
{#600241},ford 2018 flex 3.5l+v6+turbocharged,Exact Fit - Factory Replacement Blade,241,Left,TRICO,wiper+&+washer,wiper blade,$5.70
"00009ADU22KA, 00009ADU24K, 00009ADU24KA, 10148004, 10283602, 10284387, 10284388, 10317151, 10329206, 10344210, 10350320, 10375583, 10418004, 12363388, 12367277, 12487636, 12755314, 12800768, 15153642, 15192144, 15214346, 15243233, 15757007, 15757008, 15890062, 15930910, 15931976, 15931977, 15941731, 15941732, 15941733, 15941734, 15941735, 15941736, 15941737, 15941738, 1638200045, 1638200345, 1638200445, 1708200045, 1708200145, 1708200845, 19120758, 1L2Z17528AB, 2038200145, 2038201545, 2038202145, 2038207000, 20791461, 20918023, 20958934, 21302527, 21302897, 22660359, 22675853, 22695007, 22700262, 22711469, 22756331, 22793882, 22905714, 23360288, 23366232, 25648646, 25649713, 25670415, 25678717, 25682212, 25689175, 25753757, 25753758, 25788477, 25788742, 25843112, 25877402, 25949887, 288900B000, 2889017C10, 2889017C20, 288901BA0A, 288901CA1A, 288901E300, 288901E301, 288901E310, 288901KE0A, 2889030R15, 288903W405, 288903W40A, 288903W41A, 2889040U00, 2889040U01, 288904Z800, 288906B700, 288906Z50A, 288907S200, 288909CA0A, 288909FM0B, 28890AC80A, 28890AC81A, 28890AM805, 28890AM815, 28890CG000, 28890CG00B, 28890CG00C, 28890CM30B, 28890EA000, 28890JF30A, 28890VB010, 28890ZC31A, 28890ZG50A, 2S4Z17528AB, 2U2Z17528KA, 30649040, 30655499, 30753767, 30784428, 32008799, 32009840, 3501G000, 35026600, 35037000, 35038000, 3834054G40, 3834085Z20, 3834085Z22, 3834086Z00, 3W1Z17528BA, 3W7Z17528AA, 3W7Z17528BA, 4630658, 4630658AC, 4630753, 4673042, 4673043, 4746318, 4832390, 4832416, 4886130AA, 4A0955425, 4A0955425A, 4A0955425B, 4A0955427, 4B0955425, 4B7955425L, 4D0955425A, 4U2Z17528KA, 4W1Z17528AA, 5011206AA, 5011206AC, 5012357AB, 5014795AA, 5018262AA, 5018263AA, 5099055AA, 5099055AB, 5101870AA, 5101870AB, 5101871AA, 5101871AB, 5102230AB, 5103543AA, 5139095AA, 5189813AA, 55077100AE, 55277446AB, 604310, 61610032743, 61610037009, 61610134601, 61610443590, 61612151749, 61613400722, 61613424486, 61613427722, 61617004899, 61617039253, 61617161620, 61618182363, 61618209746, 61618217705, 61618361475, 61619069198, 61619070579, 68002029AA, 68003836AA, 68015148AA, 68020508AC, 68029822AA, 68051219AA, 68079859AA, 68101152AA, 68101152AB, 68194931AA, 76620S3YA01, 76620S3YA02, 76620SD4306, 76620SD4672, 76620SL0307, 76620SL0A01, 76620SM4G01, 76620SP0305, 76620SP0A01, 76620SR3A01, 76620SZ3A01, 76620SZ3A11, 76620SZAA01, 76630SHJA01, 76630SHJA11, 76630SHJA12, 76630SJCA01, 76630SJCA11, 76630SNAA11, 76630SVAA04, 76630THRA02, 76630TK8A01, 76630TK8A02, 76630TK8A03, 76630TL0G01, 76630TL0G02, 76630TR0A01, 76630TR0A02, 76630TS8A01, 76630TS8A02, 7R3Z17528BA, 8152143460, 8250A098, 8250A174, 8259498870, 84613732, 852120E010, 852120E020, 852120T020, 8521248090, 8521248150, 8521260170, 8521260171, 85212WB001, 852203A090, 852203A091, 8522204030, 8522204040, 8522206020, 852220R040, 8522212870, 8522233140, 8522233180, 8522242060, 8522242080, 8522248040, 8522250030, 8522253070, 8522253071, 8522253090, 8522260211, 852420E020, 86542AC090, 86542AC130, 86542AE020, 86542AE10A, 86542CA010, 86542FE020, 86542FE100, 86542PA020, 86542PA040, 8889582220, 88958226, 89000022, 8902C022, 8943176760, 8943694533, 8A8Z17528B, 8D1955427, 8L1Z17528A, 8L1Z17528B, 8L3Z17528A, 9190447, 92076914, 93196006, 93196007, 95980789, 96342895, 96342895P, 96476652, 96497155, 96898048, 983501G000, 9835026060, 9835026600, 9835026800, 983502C800, 983502G500, 9835037000, 9835038000, 983503D050, 98350DCL55, 99662804500, 99662804501, 99662890107, 99662890108, 99762818900, 99H09AK020C, 99H09AK022C, 9P1955426, AMH09AP024, AR3Z17528B, AW345924, BC3Z17528C, C2P1270, C2S13423, C2S39930, D11B67330, DKC000040, DKC100830, DKC500130, DKC500171PMD, DKC500240, F09Z17528A, F8PZ17528FA, F8PZ17528JA, F8RZ17528EB, F8VZ17528AB, F8XZ17528AD, FB0267330, FL3Z17528A, G22667330A, GK2A67330, GK2A67330A, GP9A67330, GU2Z17V528R, JU2Z17V528H, KL3Z17528A, LA0167330, LA0167330A, LA0167330C, LA0167330D, LA0167330D9U, LR018367, MMCAC220022, MR191075, MR300209, MR311074, MR311076, MR441818, MR482673, MR908442, MR908443, MZ690127, MZ690130, MZ690131, MZ690160, PRC9841, SOA591U222, SU00302677, U889000022, U88902C022, WB000018AM, WBF00022AA, WW2004, WW2103, WW2109, WW2200PC, WW2201, WW2201P, WW2212, WW2216, WW2217, WW2222, WW2223, WW2228, WW2230, WW2233, WW2234, WW2236, WW2237, WW2247, WW22WA, XR812132, XS8Z17528AF, XW7Z17528AA",ford 2018 flex 3.5l+v6+turbocharged,Ultimate Traditional,22,"Front Right; Armtype: Hook 9x4; Blade Length: 22""",VALEO,wiper+&+washer,wiper blade,$6.00
{#19239592},ford 2018 flex 3.5l+v6+turbocharged,"Professional Performance; 12""",8212E,Rear,ACDELCO,wiper+&+washer,wiper blade,$6.17
,ford 2018 flex 3.5l+v6+turbocharged,"Micro Edge; 24""",40724,Front Left,BOSCH,wiper+&+washer,wiper blade,$6.61
"10317151, 10344210, 10350320, 10418003, 10418004, 12368667, 12463023, 12463024, 12487636, 12755312, 12755314, 12785926, 12785930, 15153642, 15192144, 15214346, 15243233, 15285256, 15285257, 15828971, 15828972, 15872341, 15872342, 1638200645, 20791461, 22625853, 22648387, 22675853, 22700262, 22711469, 22793882, 25648646, 25649713, 25670415, 25682212, 25788742, 25949887, 288903LM0A, 288904Z800, 288909FM0B, 28890CG000, 28890CG00C, 28890CM30A, 28890ZC31A, 28890ZG50A, 32009840, 3834054G40, 3834085Z20, 3834086Z00, 3W1Z17528BA, 3W7Z17528BA, 4832390, 4832416, 4A0955425A, 4A0955425B, 4B0955425, 4B7955425G, 4D0955425A, 4W1Z17528AA, 5099055AB, 5101870AB, 5101871AB, 5102230AB, 5189813AA, 55277446AA, 55277446AB, 6160032743, 61610443590, 61612151749, 61613400722, 61613424486, 61613427722, 61617004899, 61617039253, 61617161620, 61618361475, 61618403036, 62612151749, 68002029AA, 68015148AA, 68079859AA, 76620S3YA02, 76620SL0A01, 76620SR3A01, 76620SZ3A11, 76620SZAA01, 76630SHJA01, 76630SJCA01, 76630SJCA11, 76630SL0A01, 8123686670, 8152143460, 852120E010, 8521260171, 8522204030, 8522206020, 8522233180, 8522248020, 8522248040, 86542FE020, 86542FE100, 8889582260, 88958226, 8A8Z17528B, 8L1Z17528A, 8L1Z17528B, 8L3Z17528A, 92076914, 95980789, 96442575, 96476652, 96497155, 983501G000, 983502C800, 9835038000, 983503D050, 99662890107, 99662890108, BC3217528C, C2S39930, DKC500170PMD, DKC500220, DKS500130, GK2A67330, GK2A67330A, GP9A67330, IL2Z17528AB, MR300209, MR441818, MZ690129, SOA591U222, U889000022, WB000022AD, WB000022AE, YS4Z17528AA",ford 2018 flex 3.5l+v6+turbocharged,Conventional,1601422,Front Right,DENSO,wiper+&+washer,wiper blade,$6.67
